Timestamp,How often do you use the Matplotlib library?,What kind(s) of work do you use Matplotlib for?,What is your comfort level with the Matplotlib library?,What is your proficiency level with the Python language?,Which of the following do you use to implement Matplotlib into your workflow?,How helpful has the Matplotlib documentation been for your tasks?,How would you prioritize your troubleshooting experience with Matplotlib with resources you used? [1st choice],How would you prioritize your troubleshooting experience with Matplotlib with resources you used? [2nd choice],How would you prioritize your troubleshooting experience with Matplotlib with resources you used? [3rd choice],How would you prioritize your troubleshooting experience with Matplotlib with resources you used? [4th choice],What do you think a user at your level needs to know in order to use Matplotlib successfully?,What would you like to see change in Matplotlib's documentation? [Number of examples],What would you like to see change in Matplotlib's documentation? [Real-world data in content],What would you like to see change in Matplotlib's documentation? [Expositional language],What would you like to see change in Matplotlib's documentation? [Visual aids and graphics],What would you like to see change in Matplotlib's documentation? [Links to topics and resources],What would you like to see change in Matplotlib's documentation? [Update scheduling],Thank you for completing the survey! Any additional feedback is welcome!
10/2/2020 14:31:20,4,Non-production (Exploratory),3,4,"Interactive shell, Jupyter Notebook, Batch script",4,Matplotlib docs,Online community/forum,"Search engine (e.g. Google, etc.)",Personal connection,"fig, axs = plt.subplots() what fig/axs each are, and how to use them effectively. This pattern should be standard across all examples.",More,No change,No change,More,No change,More,
10/2/2020 14:33:53,5,Non-production (Exploratory),4,4,"Interactive shell, Jupyter Notebook, Batch script",2,Personal connection,Online community/forum,"Search engine (e.g. Google, etc.)",Matplotlib docs,"A general overview of how matplotlib views the world would be useful, like, an introduction to the main components of the API (ax vs. fig, for instance). Deprecating completely the plt.plot style interface would help users in the long term, but would be a very disruptive change. ",No change,More,More,No change,No change,No change,"I really think ALL examples in the docs should be opinionated, and should be heavily scrutinized for style and usage patterns. plt.plot should not appear in any examples!"
10/2/2020 14:47:29,5,Non-production (Exploratory),4,5,"Interactive shell, Jupyter Notebook, Batch script",3,"Search engine (e.g. Google, etc.)",Matplotlib docs,Online community/forum,Personal connection,,More,No change,No change,No change,More,No change,
10/2/2020 15:18:11,5,Production (Outward facing),4,4,"Interactive shell, Jupyter Notebook, Batch script",3,"Search engine (e.g. Google, etc.)",Matplotlib docs,Online community/forum,Personal connection,How to extend/embed the figures into other frameworks/environments and maintain interactivity.,No change,More,No change,More,No change,No change,
10/2/2020 15:41:34,5,Non-production (Exploratory),4,5,"Jupyter Notebook, Batch script",3,"Search engine (e.g. Google, etc.)",Online community/forum,Matplotlib docs,Personal connection,,More,Less/fewer,More,More,No change,No change,
10/2/2020 15:42:18,3,Non-production (Exploratory),2,4,Jupyter Notebook,2,"Search engine (e.g. Google, etc.)",Online community/forum,Matplotlib docs,Personal connection,"They need to understand how to use the object-oriented interface, rather than the MATLAB-like interface, and that such a difference exists in the first place.",More,No change,More,More,More,No change,"* Matplotlib's documentation should make it clear that the state interface and the object-oriented interface are two different interfaces, which is something I didn't learn until I'd been using matplotlib for a few years.  Pages for state-based functions should include links to the corresponding object-oriented interface functions, and vice-versa.  It would be even better if matplotlib officially declared the object-oriented interface to be the ""current"" interface, and directed state-based function pages back to the object oriented ones.

*  ""External Resources"" should be organized better.  Some of them use the state interface and some use the object-oriented interface, and there's no obvious indication which is which if you don't know that they're different.  I'd recommend marking external resources based on experience level (e.g. for beginners, intermediate users, or advanced users), whether they use the state or OOP interface, and whether they're free or paid.

* Matplotlib should add many more comments to examples, should link to related examples, or should make them more like walkthroughs (see vignettes in R packages for a good example).  They are currently written in a way that makes it easy to copy and paste them for a particular use case, but I don't really understand why they work.  For example, in the page on custom scales (https://matplotlib.org/gallery/scales/scales.html), the mercator example has both NullFormatter and FixedLocator but I have no idea what they do or why I'd pick those functions over some of the alternatives.

* The list of third-party packages should be cleaned up a bit.  Some of them - like ggplot - haven't been updated in years so I wouldn't recommend using them.  I'd also move common extensions - like seaborn - to the top."
10/2/2020 15:58:22,4,Non-production (Exploratory),4,4,Jupyter Notebook,5,"Search engine (e.g. Google, etc.)",Matplotlib docs,Online community/forum,Personal connection,,More,More,No change,No change,More,More,Thank you for all that you do! Matplotlib is awesome.
10/2/2020 16:08:00,4,Non-production (Exploratory),3,3,"Jupyter Notebook, Batch script",3,"Search engine (e.g. Google, etc.)",Online community/forum,Matplotlib docs,Personal connection,How to Google for the customization I need,More,More,No change,No change,No change,No change,"matplotlib is great.  You can do anything with it.  That's part of the problem.  The commands are non-intuitive and the argument is so bloated there doesn't seem to be a single place that can describe it all succinctly.  I've worked with other Python plotting libraries that have easier, more intuitive APIs and cleaner default appearance, but always find myself not quite having the flexibility I need to do something that isn't standard, but still feels like it should be fairly straightforward.  It may very well be impossible, but to make one API that's clean and intuitive, but still provides you with all the low level flexibility, but it would be great to see the matplotlib docs try to hit the high notes more, clean some cruft out of the existing examples, and hit some more real world use cases."
10/2/2020 16:51:47,4,Non-production (Exploratory),3,4,Jupyter Notebook,4,"Search engine (e.g. Google, etc.)",Online community/forum,Matplotlib docs,Personal connection,,More,No change,No change,More,More,No change,
10/2/2020 19:09:28,1,Non-production (Exploratory),2,5,"Jupyter Notebook, Graphical User Interface (GUI)",1,Online community/forum,"Search engine (e.g. Google, etc.)",Personal connection,Matplotlib docs,A ton of commands to do simple plots,More,More,No change,More,More,More,
